0,9
1,0
2,0
3,5
4,9
5,1
6,1
7,1
8,8
9,9
10,9
11,1
12,3
13,9
14,1
15,3
16,9
17,4
18,7
19,1
20,6
21,1
22,9
23,7
24,4
25,8
26,1
27,1
28,8
29,8
30,9
31,8
32,8
33,9
34,9
35,1
36,9
37,9
38,1
39,1
40,1
41,7
42,9
43,5
44,9
45,9
46,1
47,1
48,5
49,1
50,5
51,0
52,5
53,4
54,0
55,1
56,8
57,5
58,2
59,1
60,1
61,9
62,0
63,0
64,9
65,0
66,1
67,4
68,0
69,2
70,1
71,1
72,1
73,9
74,5
75,8
76,4
77,1
78,4
79,9
80,2
81,1
82,0
83,5
84,0
85,8
86,9
87,9
88,7
89,6
90,8
91,4
92,0
93,1
94,5
95,1
96,4
97,9
98,0
99,0
100,4
101,8
102,8
103,2
104,5
105,5
106,8
107,5
108,5
109,4
110,1
111,9
112,5
113,5
114,8
115,9
116,8
117,1
118,8
119,9
120,1
121,5
122,5
123,9
124,1
125,0
126,0
127,5
128,4
129,9
130,1
131,3
132,8
133,1
134,9
135,1
136,4
137,9
138,0
139,8
140,5
141,0
142,3
143,8
144,4
145,0
146,9
147,9
148,5
149,1
150,1
151,9
152,9
153,1
154,5
155,0
156,1
157,5
158,5
159,3
160,4
161,8
162,0
163,1
164,1
165,1
166,1
167,3
168,9
169,0
170,5
171,9
172,5
173,0
174,9
175,1
176,1
177,0
178,8
179,5
180,4
181,1
182,9
183,9
184,9
185,1
186,9
187,5
188,4
189,1
190,1
191,9
192,1
193,0
194,0
195,7
196,9
197,1
198,9
199,9
200,9
201,0
202,9
203,0
204,9
205,5
206,8
207,5
208,5
209,0
210,4
211,4
212,0
213,6
214,9
215,0
216,8
217,1
218,3
219,9
220,8
221,1
222,9
223,0
224,4
225,1
226,2
227,5
228,9
229,1
230,9
231,1
232,4
233,4
234,1
235,5
236,5
237,9
238,8
239,1
240,4
241,0
242,9
243,9
244,1
245,1
246,9
247,0
248,9
249,7
250,9
251,1
252,1
253,1
254,9
255,0
256,9
257,5
258,1
259,1
260,5
261,1
262,1
263,1
264,4
265,9
266,9
267,2
268,7
269,8
270,5
271,4
272,5
273,1
274,7
275,0
276,5
277,8
278,9
279,9
280,0
281,9
282,4
283,6
284,1
285,5
286,0
287,1
288,5
289,1
290,1
291,9
292,8
293,8
294,0
295,9
296,1
297,0
298,8
299,5
300,3
301,5
302,9
303,5
304,1
305,1
306,1
307,7
308,8
309,1
310,9
311,4
312,1
313,4
314,1
315,8
316,5
317,9
318,9
319,7
320,9
321,0
322,9
323,9
324,9
325,9
326,9
327,0
328,1
329,9
330,5
331,1
332,5
333,4
334,1
335,9
336,7
337,1
338,9
339,4
340,8
341,8
342,5
343,8
344,0
345,5
346,5
347,9
348,9
349,9
350,5
351,3
352,1
353,8
354,1
355,4
356,5
357,1
358,5
359,1
360,0
361,9
362,5
363,4
364,9
365,2
366,0
367,1
368,1
369,3
370,9
371,5
372,1
373,5
374,1
375,9
376,1
377,9
378,8
379,8
380,1
381,5
382,1
383,1
384,1
385,4
386,0
387,4
388,9
389,6
390,9
391,9
392,0
393,1
394,4
395,1
396,2
397,8
398,2
399,1
400,1
401,9
402,4
403,9
404,8
405,1
406,8
407,9
408,8
409,5
410,5
411,6
412,1
413,9
414,1
415,1
416,9
417,1
418,4
419,5
420,4
421,2
422,3
423,9
424,8
425,0
426,9
427,5
428,4
429,8
430,9
431,0
432,3
433,9
434,9
435,1
436,1
437,9
438,9
439,5
440,1
441,0
442,0
443,1
444,0
445,8
446,8
447,8
448,4
449,9
450,9
451,4
452,1
453,9
454,8
455,0
456,0
457,0
458,1
459,9
460,1
461,8
462,8
463,9
464,8
465,4
466,1
467,8
468,7
469,8
470,9
471,8
472,4
473,9
474,3
475,5
476,5
477,0
478,8
479,0
480,6
481,1
482,1
483,8
484,9
485,4
486,9
487,2
488,9
489,0
490,1
491,5
492,4
493,1
494,8
495,1
496,3
497,0
498,0
499,1
500,9
501,0
502,5
503,1
504,9
505,0
506,4
507,1
508,5
509,8
510,5
511,1
512,1
513,9
514,4
515,0
516,1
517,9
518,6
519,5
,0,1,2,3,4,5,6,7,8,9
0,44,2,0,1,2,1,1,0,0,4
1,4,112,0,5,0,3,0,0,1,0
2,0,0,5,0,3,1,0,0,5,1
3,0,6,0,8,0,1,0,0,0,0
4,8,2,1,0,24,5,0,0,1,9
5,1,0,0,0,4,43,0,0,0,7
6,2,0,0,0,1,1,7,0,3,1
7,0,2,1,0,0,0,0,12,0,0
8,1,0,2,0,0,1,0,0,45,1
9,2,0,2,0,12,12,0,0,3,94
,precision,recall,f1-score,support
0,0.7096774193548387,0.8,0.7521367521367521,55.0
1,0.9032258064516129,0.896,0.8995983935742972,125.0
2,0.45454545454545453,0.3333333333333333,0.3846153846153846,15.0
3,0.5714285714285714,0.5333333333333333,0.5517241379310344,15.0
4,0.5217391304347826,0.48,0.4999999999999999,50.0
5,0.6323529411764706,0.7818181818181819,0.6991869918699187,55.0
6,0.875,0.4666666666666667,0.608695652173913,15.0
7,1.0,0.8,0.888888888888889,15.0
8,0.7758620689655172,0.9,0.8333333333333334,50.0
9,0.8034188034188035,0.752,0.7768595041322314,125.0
accuracy,0.7576923076923077,0.7576923076923077,0.7576923076923077,0.7576923076923077
macro avg,0.724725019577605,0.6743151515151515,0.6895039038655753,520.0
weighted avg,0.7606479161974029,0.7576923076923077,0.7549145591432461,520.0
