,precision,recall,f1-score,support
0,0.6046511627906976,0.4727272727272727,0.5306122448979591,55.0
1,0.925,0.888,0.9061224489795918,125.0
2,0.27906976744186046,0.8,0.4137931034482758,15.0
3,0.34146341463414637,0.9333333333333333,0.5,15.0
4,0.5882352941176471,0.4,0.4761904761904762,50.0
5,0.7555555555555555,0.6181818181818182,0.6799999999999999,55.0
6,0.24444444444444444,0.7333333333333333,0.36666666666666664,15.0
7,1.0,0.9333333333333333,0.9655172413793104,15.0
8,0.8823529411764706,0.3,0.44776119402985076,50.0
9,0.7711864406779662,0.728,0.748971193415638,125.0
accuracy,0.6692307692307692,0.6692307692307692,0.6692307692307692,0.6692307692307692
macro avg,0.6391959020838789,0.680690909090909,0.6035634569007768,520.0
weighted avg,0.7468052899159661,0.6692307692307692,0.6795338797158107,520.0
