,precision,recall,f1-score,support
0,0.5714285714285714,1.0,0.7272727272727273,4.0
1,1.0,1.0,1.0,2.0
2,1.0,1.0,1.0,4.0
3,1.0,1.0,1.0,3.0
4,1.0,1.0,1.0,2.0
5,1.0,1.0,1.0,2.0
6,0.75,0.75,0.75,4.0
7,0.3333333333333333,0.3333333333333333,0.3333333333333333,3.0
8,1.0,1.0,1.0,3.0
9,0.6666666666666666,0.5,0.5714285714285715,4.0
10,0.5,0.6666666666666666,0.5714285714285715,3.0
11,1.0,1.0,1.0,4.0
12,0.5,0.6666666666666666,0.5714285714285715,3.0
13,1.0,0.5,0.6666666666666666,4.0
14,1.0,1.0,1.0,3.0
15,1.0,1.0,1.0,3.0
16,1.0,1.0,1.0,3.0
17,1.0,0.75,0.8571428571428571,4.0
18,1.0,0.6666666666666666,0.8,3.0
19,0.5,1.0,0.6666666666666666,2.0
20,0.75,1.0,0.8571428571428571,3.0
21,1.0,0.3333333333333333,0.5,3.0
22,0.75,1.0,0.8571428571428571,3.0
23,0.5,1.0,0.6666666666666666,2.0
24,1.0,0.6666666666666666,0.8,3.0
25,0.0,0.0,0.0,3.0
accuracy,0.7875,0.7875,0.7875,0.7875
macro avg,0.8008241758241758,0.8012820512820512,0.7767815517815518,80.0
weighted avg,0.8056547619047618,0.7875,0.7728517316017316,80.0
